Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
CAN006,Can.,2020-04-07,New,Public information,Masks,Recommendation for the use of face masks issued,"Public Health Agency of Canada
"
CAN014,Can.,2020-04-15,New,Travel,Self-isolation,Requirement of a quarantine plan for all returning international travellers prior to entry announced,"Prime Minister
"
CAN020,Can.,2020-04-17,New,Public information,Masks,Mandatory use of face coverings for all air and rail passengers announced,"Transport Canada
"
CAN021,Can.,2020-01-29,New,Travel,Restrictions,Travel advisory warning against non-essential travel to China issued,"Government of Canada
"
CAN022,Can.,2020-02-29,New,Travel,Restrictions,Travel advisory warning against all travel to the cities of Daegu and Cheongdo issued,"Government of Canada
"
CAN023,Can.,2020-03-02,New,Travel,Restrictions,Travel advisory warning against all non-essential travel to affected regions of Italy issued,"Government of Canada
"
CAN024,Can.,2020-03-06,New,Travel,Restrictions,Travel advisory warning against all travel to Iran issued,"Government of Canada
"
CAN025,Can.,2020-03-09,New,Travel,Restrictions,Travel advisory warning against all cruise ship travel issued,"Government of Canada
"
CAN026,Can.,2020-03-10,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"Government of Canada
"
CAN027,Can.,2020-03-13,New,Travel,Restrictions,Cruise ship season postponed,"Government of Canada
"
CAN028,Can.,2020-03-14,New,Travel,Restrictions,Travel advisory warning against all non-essential travel outside Canada issued,"Government of Canada
"
CAN031,Can.,2020-03-18,New,Travel,Restrictions,Travel restrictions on the entry of all foreign nationals (except from the United States) announced,"Government of Canada
"
CAN038,Can.,2020-03-23,New,State of emergency,State of emergency,State of emergency declared,"Assembly of First Nations executive committee
"
CAN044,Can.,2020-03-26,New,Public information,Masks,Guidance on use of non-medical masks published,"Health Canada
"
CAN045,Can.,2020-03-24,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from international travel announced,"Government of Canada
"
CAN047,Can.,2020-03-28,New,Health workforce,Safety guidelines,Guidance to optimize the use of masks and respirators published,"Health Canada
"
CAN054,Can.,2020-04-03,New,Health workforce,Supply management,Deployment of Canadian Rangers to Inuit communities in northern Quebec announced,"Prime Minister, Government of Canada, Canadian Armed Forces 
"
CAN057,Can.,2020-04-06,New,Travel,Restrictions,Restrictions on commercial marine activity announced,"Transport Canada
"
CAN075,Can.,2020-03-11,New,Case management,Self-isolation,Guidance on self-isolation published,"Public Health Agency of Canada
"
CAN082,Can.,2020-03-19,New,Health workforce,Change in practice,Exemptions under the Controlled Drugs and Substances Act issued,"Health Canada
"
CAN091,Can.,2020-04-22,New,Health workforce,Supply management,Restriction on international students working beyond 20 hours per week in essential service lifted,"Immigration, Refugees and Citizenship Canada
"
CAN098,Can.,2020-05-03,New,Health services,Telemedicine/virtual care,Investment of $240.5 million in virtual care and mental health tools announced,"Prime Minister
"
CAN102,Can.,2020-04-20,New,Health workforce,Supply management,Deployment of Canadian Armed Forces to support long-term care facilities in Quebec announced,"Government of Canada 
"
CAN103,Can.,2020-04-28,New,Health workforce,Supply management,Deployment of Canadian Armed Forces to support long-term care facilities in Ontario announced,"Government of Canada 
"
CAN104,Can.,2020-04-03,New,Health workforce,Supply management,Deployment of Canadian Ranger Patrol in 27 Quebec communities announced,"Government of Canada 
"
CAN111,Can.,2020-04-25,New,Health workforce,Change in practice,Directive for health care providers not to prescribe unproven therapies issued,"Health Canada
"
CAN113,Can.,2020-05-10,New,Health workforce,Supply management,"Essential health service personnel deployed to remote First Nations communities in Ontario, Manitoba and Alberta ",Indigenous Services Canada
CAN116,Can.,2020-05-12,New,Case management,Other,Use of first COVID-19 serological test authorized,Health Canada
CAN120,Can.,2020-06-01,Eased,Closures/openings,Recreation,National parks and other national sites reopened for limited services and operations,"Parks Canada
"
CAN126,Can.,2020-03-21,New,Travel,Restrictions,Travel restrictions on the entry of foreign nationals from the United States announced,"Government of Canada
"
CAN130,Can.,2020-07-01,Eased,Travel,Restrictions,"Restriction on passenger vessels (except cruise ships) operating in inland rivers/lakes in N.W.T., Nun. and Y.T. lifted","Transport Canada
"
CAN131,Can.,2020-06-04,New ,Public information,Masks,Mandatory use of face coverings for transportation sector workers announced,"Transport Canada
"
CAN132,Can.,2020-06-09,Eased,Travel,Restrictions,Travel restrictions on foreign nationals with immediate family in Canada relaxed ,"Canada Border Services Agency
"
CAN136,Can.,2020-06-18,New ,Case management,Contact tracing,Launch of national contact tracing app announced,"Prime Minister 
"
CAN138,Can.,2020-06-30,New,Case management,Other,Phase 1 of mandatory air traveller screening announced,"Transport Canada
"
CAN139,Can.,2020-06-12,New ,Health workforce,Licence reinstatement/reclassification,Maintenance of certification requirements waived for physician assistants,"Canadian Association of Physician Assistants 
"
CAN146,Can.,2020-07-07,Eased,Closures/openings,Non-essential services,Opening of Service Canada Centres announced,"Employment and Social Development Canada
"
CAN155,Can.,2020-07-31,New,Travel,Restrictions,Restrictions and entry conditions for travellers transiting through Canada to Alaska announced,"Canada Border Services Agency
"
CAN165,Can.,2020-08-14,New,Case management,Other,"Canada’s Flight Plan for Navigating COVID-19, aimed at reducing risks of COVID-19 while travelling by aircraft, announced","Transport Canada
"
CAN168,Can.,2020-08-26,New,Closures/openings,Education,$112 million in funding announced to support a safe return to elementary and secondary school on reserves,"Indigenous Services Canada
"
CAN169,Can.,2020-08-26,New,Closures/openings,Education,$2 billion in funding announced for provinces and territories through the Safe Return To Class Fund,"Prime Minister
"
CAN173,Can.,2020-09-11,New,Case management,Other,Consistent approach for air carriers to collect and share passenger information for COVID-19 tracing announced,"Transport Canada 
"
CAN181,Can.,2020-04-05,New,Health workforce,Supply management,"Deployment of Canadian Rangers to communities in Saskatchewan, northern Ontario, B.C., Yukon, Northwest Territories announced","Government of Canada
"
CAN182,Can.,2020-07-21,New,Health workforce,Safety guidelines,Creation of Essential Services Contingency Reserve that complements existing personal protective equipment support for front-line health care workers announced,"Government of Canada
"
CAN183,Can.,2020-04-15,New,Health workforce,Safety guidelines,Guidance for health workers in acute health care settings published,"Government of Canada
"
CAN185,Can.,2020-09-29,New,Case management,Other,"Agreement to purchase 7.9 million rapid tests and 3,800 analyzers from Abbott Rapid Diagnostics signed","Public Services and Procurement Canada
"
CAN186,Can.,2020-09-23,New,Case management,Other,Final phase of mandatory airport screening implemented,"Transport Canada
"
CAN188,Can.,2020-10-08,Eased,Travel,Restrictions,Travel restrictions for certain extended family members of Canadian citizens and Canadian permanent residents eased,"Immigration, Refugees and Citizenship Canada
"
CAN189,Can.,2020-10-20,Eased,Travel,Restrictions,Travel restrictions for international students attending institutions with a COVID-19 readiness plan eased,"Immigration, Refugees and Citizenship Canada
"
CAN192,Can.,2020-10-06,New,Case management,Other,Agreement to purchase 20.5 million rapid tests from Abbott Rapid Diagnostics signed,"Public Services and Procurement Canada
"
CAN196,Can.,2020-11-02,Eased,Travel,Self-isolation,Program launched to allow international travellers to leave quarantine provided they test negative upon arrival and retest 6 to 7 days after,"Intergovernmental Affairs
"
CAN200,Can.,2020-10-30,New,Case management,Contact tracing,COVID Alert app updated to send notifications based on a more precise timeline ,"Health Canada
"
CAN202,Can.,2020-10-31,Eased,Travel,Self-isolation,Residents of border communities who need to cross the border to access necessities exempted from the mandatory 14-day quarantine rule,"Public Safety Canada
"
CAN206,Can.,2020-11-03,New,Public information,Masks,"Guidance on non-medical masks updated; recommend wearing a 3-layer mask with a middle, filter layer","Public Health Agency of Canada
"
CAN208,Can.,2020-11-06,New,Case management,Other,Funding for First Nations to adapt community infrastructure for infection control measures announced,"Indigenous Services Canada
"
CAN210,Can.,2020-11-10,New,Case management,Other,"Agreement to purchase 7.6 million rapid tests and 2,172 analyzers from Benton, Dickson and Company signed","Public Services and Procurement Canada
"
CAN211,Can.,2020-11-10,New,Health workforce,Supply management,$61.4 million in pandemic funding for Man. First Nations Provincial Coordination Response Team and First Nation organizations announced,Indigenous Services Canada
MB002,Man.,2020-03-01,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for respiratory therapists announced,Manitoba Association of Registered Respiratory Therapists 
MB007,Man.,2020-03-13,New,Distancing,Gatherings,Gatherings of more than 250 people prohibited,"Public health officials
"
MB008,Man.,2020-03-13,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"Public health officials
"
MB009,Man.,2020-03-14,New,Health services,Telemedicine/virtual care,Virtual care options for physicians announced ,"Doctors Manitoba
"
MB010,Man.,2020-03-15,New,Health services,Visitors,Visitor screening at health facilities implemented,"Public health officials
"
MB012,Man.,2020-03-16,New,Health services,Visitors,Visitor access to acute care restricted,"Public health officials
"
MB014,Man.,2020-03-17,New,Health services,Visitors,Recommendation to restrict visitor access to long-term care to essential visitors issued ,"Public health officials
"
